x,y,fid,objectid,tfm_id,tfm_desc,tfm_typ_de,movement_t,site_desc,road_nbr,declared_r,local_road,data_src_c,data_sourc,time_categ,year_since,last_year,aadt_allve,aadt_truck,per_trucks
145.02927960781685,-37.68402359848953,7723,7043,7223,DALTON RD 10M BEFORE ALISON ST,INTERSECTION,Scheduled PubTpt Bus flow,DALTON RD 10M BEFORE ALISON ST,5605,DALTON ROAD,DALTON ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
145.2756114800862,-37.83011806808285,7733,7144,8253,FIBREMAKERS ACCESS N OF CANTERBURY RD DEPARTURE,INTERSECTION,Exitfrom Carpark Busin Area,FIBREMAKERS ACCESS N OF CANTERBURY RD DEPARTURE,5802,CANTERBURY ROAD,CANTERBURY ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
145.05877047346868,-37.88418027866646,7734,7692,29302,PRINCES HWY EAST E of KOORNANG ROAD,INTERSECTION,All Moves,KOORNANG RD & KOORNGAN RD & PRINCES HWY EAST,2510,PRINCES HIGHWAY EAST,DANDENONG ROAD,TMVMT,Manual,Greater than 10 Years,31,1985,36000,3400,0.09
145.07160849259324,-37.75963049893723,7735,7547,12141,DORA ST N OF BANKSIA ST,INTERSECTION,All Moves,BANKSIA ST/DORA ST/YARRA BLVD,9999,Missing Data,DORA STREET,SCATS,Scats,Between 5 and 10 Years,8,2008,12000,0,0.0
144.81969763355139,-37.707572957612456,7736,7292,28695,CALDER FWY SEB BTW RAMPS TO MELTON HWY & GREEN GULLY RD,MIDBLOCK,All Moves,CALDER FWY BTW RAMPS TO MELTON HWY & GREEN GULLY RD,2530,CALDER FREEWAY,CALDER FREEWAY,APCLM,Permanent Classification,Less than 2 Years,1,2015,43000,2200,0.05
145.09134277197487,-37.87549053076612,7737,7885,25175,BATESFORD RD E of WARRIGAL RD,INTERSECTION,All Moves,BATESFORD RD & WARRIGAL RD,9999,Missing Data,BATESFORD ROAD,TMVMT,Manual,Greater than 10 Years,31,1985,4700,110,0.02
145.2217233990512,-37.985719075522006,7746,7046,7038,CLOW ST 30M BEFORE CLEMENT ST,INTERSECTION,Scheduled PubTpt Bus flow,CLOW ST 30M BEFORE CLEMENT ST,9999,Missing Data,CLOW STREET,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
144.99332519808536,-37.85804307942647,7750,7783,27397,DANDENONG RD E of CHAPEL ST,INTERSECTION,All Moves,CHAPEL ST & DANDENONG RD,2510,PRINCES HIGHWAY EAST,DANDENONG ROAD,TMVMT,Manual,Greater than 10 Years,31,1985,33000,2400,0.07
145.22095600900496,-37.98563231283262,7754,7147,25408,CLOW ST E OF STUD RD,INTERSECTION,All Moves,STUD RD & CLOW ST,9999,Missing Data,CLOW STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
144.99797121668587,-37.74465251066064,7757,7550,25345,BELL ST E OF ST GEORGES RD DEPARTURE,INTERSECTION,All Moves,ST GEORGES RD N OF BELL ST DEPARTURE,2400,STATE (BELL/SPRINGVALE) HIGHWAY,BELL STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
145.27865841029453,-37.86184656231856,7759,7480,22144,BORONIA RD E BD W OF TULIP CR,INTERSECTION,All Moves,BORONIA RD W OF TULIP CR,5920,BORONIA ROAD,BORONIA ROAD,APARX,Classification,Greater than 10 Years,16,2000,16000,0,0.0
144.9982218048787,-37.82406310019144,7766,7048,19358,CHURCH ST N BD BTWN SWAN ST & BRIDGE RD,INTERSECTION,Scheduled PubTpt Tram flow,CHURCH ST BTWN SWAN ST & BRIDGE RD,5499,CHURCH STREET,CHURCH STREET,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
