Site Number,Location Description,Site Type,Directory,Map reference,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2449,QUEENS RD O'HEAD N BEATRICE    GANTRY 06,O/H LANE,Melway,058A05,,,,
2446,QUEENS RD O'HEAD N LEOPOLD     GANTRY 03,O/H LANE,Melway,057K03,,,,
2467,QUEENS RD O'HEAD N LORNE       GANTRY 08,O/H LANE,Melway,058A06,,,,
2447,QUEENS RD O'HEAD N LOUISE      GANTRY 04,O/H LANE,Melway,058A04,,,,
2448,QUEENS RD O'HEAD N ROY         GANTRY 05,O/H LANE,Melway,059A05,,,,
2450,QUEENS RD O'HEAD S BEATRICE    GANTRY 07,O/H LANE,Melway,058A06,,,,
2444,QUEENS RD O'HEAD S KINGSWAY    GANTRY 01,O/H LANE,Melway,057K02,,,,
21000,TOORAK DYNAMIC FAIRWAY SYSTEM,O/H LANE,,,,,,
21003,TOORAK NR CAROLINE STH (DYNAMIC FAIRWAY),O/H LANE,Melway,,,,,
21008,TOORAK NR CLARA (DYNAMIC FAIRWAY) WB,O/H LANE,Melway,,,,,
21006,TOORAK NR CLAREMONT (DYNAMIC FAIRWAY) EB,O/H LANE,Melway,,,,,
21009,TOORAK NR COMO (DYNAMIC FAIRWAY) EB,O/H LANE,Melway,,,,,
21007,TOORAK NR FOSTER (DYNAMIC FAIRWAY) W/B,O/H LANE,Melway,,,,,
21010,TOORAK NR FULHAM (DYNAMIC FAIRWAY) EB,O/H LANE,Melway,,,,,
21014,TOORAK NR GRANGE (DYNAMIC FAIRWAY) EB,O/H LANE,Melway,,,,,
21015,TOORAK NR KILSYTH (DYNAMIC FAIRWAY) WB,O/H LANE,Melway,,,,,
21001,TOORAK NR MARNE (DYNAMIC FAIRWAY) E/B,O/H LANE,Melway,,,,,
21004,TOORAK NR MYRTLE (DYNAMIC FAIRWAY W/B),O/H LANE,Melway,,,,,
21016,TOORAK NR ORRONG (DYNAMIC FAIRWAY) WB,O/H LANE,Melway,,,,,
21012,TOORAK NR TINTERN (DYNAMIC FAIRWAY) WB,O/H LANE,Melway,,,,,
21011,TOORAK NR TINTERN (DYNAMIC FAIRWAY) WB,O/H LANE,Melway,,,,,
21013,TOORAK NR WALLACE (DYNAMIC FAIRWAY) EB,O/H LANE,Melway,,,,,
21002,TOORAK NR WALSH (DYNAMIC FAIRWAY) E/B,O/H LANE,Melway,,,,,
21005,TOORAK NR YARRA (DYNAMIC FAIRWAY) E/B,O/H LANE,Melway,,,,,
1084,TULLA FWY/BRISTOL (GANTRY B),O/H LANE,Melway,16A08,,,,
1083,TULLA FWY/ENGLISH (GANTRY C),O/H LANE,Melway,16B08,,,,
1085,TULLA/VAUGHAN (GANTRY D),O/H LANE,Melway,16B07,,,,
2851,TULLAMARINE FWY LANE SIGNALS (NR CALDER),O/H LANE,Melway,016A08,,,,
1694,WESTGATE EAST OF TODD (OB),O/H LANE,,,,,,
1693,WESTGATE EAST OF TODD (OB),O/H LANE,,,,,,
1627,WESTGATE NR HYDE (OB),O/H LANE,Melway,42B12,,,,
1622,WGB west of Todd,O/H LANE,Melway,056F01,,,,
1622,WGB west of Todd,O/H LANE,Melway,056F01,,,,
1625,WGB/ 950M WEST OF TODD,O/H LANE,Melway,56F01,,,,
1659,WGF E of Montague (EB),O/H LANE,,,,,,
1661,WGF E of Montague Kingsway (EB),O/H LANE,,,,,,
1660,WGF E of Montague Kingsway (EB),O/H LANE,,,,,,
1679,WGF EAST OF CITYLINK,O/H LANE,,,,,,
1687,WGF EAST OF COOK,O/H LANE,,,,,,
1628,WGF east of Hall I/B,O/H LANE,Melway,042A11,,,,
1629,WGF east of Hall O/B,O/H LANE,Melway,042A11,,,,
1673,WGF East of Ingles (WB),O/H LANE,,,,,,
1674,WGF East of Ingles north side (WB),O/H LANE,,,,,,
1675,WGF East of Ingles south side (WB),O/H LANE,,,,,,
1685,WGF East of service centre (WB),O/H LANE,,,,,,
1677,WGF East of Wstrn Lk (WB),O/H LANE,,,,,,
1652,WGF Kingsway Offramp nr Clarke (EB),O/H LANE,,,,,,
1656,WGF Kingsway Offramp nr Haig (EB),O/H LANE,,,,,,
1654,WGF Kingsway Onramp nr CityRd (WB),O/H LANE,,,,,,
1663,WGF Montague (WB),O/H LANE,,,,,,
1695,WGF Montague Onramp (WB),O/H LANE,,,,,,
1682,WGF nr Bolte Offramp (EB),O/H LANE,,,,,,
1653,WGF nr CityRd (WB),O/H LANE,,,,,,
1651,WGF nr Clarke (EB),O/H LANE,,,,,,
1662,WGF nr Ford (WB),O/H LANE,,,,,,
1655,WGF nr Haig (EB),O/H LANE,,,,,,
1626,WGF nr Hyde I/B,O/H LANE,Melway,042B12,,,,
1670,WGF nr Lorimer (EB),O/H LANE,,,,,,
1669,WGF nr Montague (EB),O/H LANE,,,,,,
1668,WGF nr Montague (EB),O/H LANE,Melway,043D11,,,,
1667,WGF nr Montague (WB),O/H LANE,,,,,,
1688,WGF nr service centre (WB),O/H LANE,,,,,,
1624,WGF nr Westgate park I/B,O/H LANE,Melway,056D01,,,,
1657,WGF nr Whiteman (WB),O/H LANE,,,,,,
1672,WGF On Wstrn Lk nr Lorimer (EB),O/H LANE,,,,,,
1650,WGF W of Kingsway (WB),O/H LANE,,,,,,
1691,WGF WEST OF MONTAGUE O/B,O/H LANE,,,,,,
1680,WGF West of Wstrn Lk Offramp (WB),O/H LANE,,,,,,
1678,WGF/box 762,O/H LANE,Melway,43A012,,,,
1692,WGF/COOK SERVICE CENTRE ON RAMP I/B,O/H LANE,,,,,,
1676,WGF/Ingles (EB),O/H LANE,,,,,,
1690,WGF/KINGSWAY ON RAMP O/B,O/H LANE,,,,,,
1671,WGF/K'way Offramp nr Lorimer (EB),O/H LANE,,,,,,
1666,WGF/K'way Onramp nr Governor (WB),O/H LANE,,,,,,
1664,WGF/Montague (WB) ramp B,O/H LANE,,,,,,
1665,WGF/MONTAGUE RAMP B I/B,O/H LANE,,,,,,
1686,WGF/PROHASKY,O/H LANE,,,,,,
1684,WGF/Salmon (EB),O/H LANE,,,,,,
1683,WGF/Salmon (WB),O/H LANE,,,,,,
1638,WGF/WILLIAMSTOWN I/B,O/H LANE,,,,,,
1631,WGF/Williamstown I/B,O/H LANE,Melway,041J11,,,,
1630,WGF/Williamstown I/B,O/H LANE,Melway,041J11,,,,
1658,WGFK'way Onramp nr Whiteman (WB),O/H LANE,,,,,,
