x,y,fid,objectid,tfm_id,tfm_desc,tfm_typ_de,movement_t,site_desc,road_nbr,declared_r,local_road,data_src_c,data_sourc,time_categ,year_since,last_year,aadt_allve,aadt_truck,per_trucks
145.79293241393577,-38.108164761854255,16264,16386,35476,LONGWARRY-DROUIN RD E BD 200M W OF SNOWBALL RD,MIDBLOCK,All Moves,LONGWARRY-DROUIN RD 200M W OF SNOWBALL RD,5710,LONGWARRY-DROUIN ROAD,LONGWARRY-DROUIN ROAD,APARX,Classification,Less than 2 Years,1,2015,1200,90,0.08
145.17232409781795,-36.7521099495003,16274,16890,41321,KIRWANS BRIDGE-LONGWOOD RD E BD 300M W OF GOULBURN VALLEY HWY @ 4.5KM POST,MIDBLOCK,All Moves,KIRWANS BRIDGE-LONGWOOD RD 300M W OF GOULBURN VALLEY HWY @ 4.5KM POST,9999,Missing Data,KIRWANS BRIDGE ROAD,APARX,Classification,Between 5 and 10 Years,8,2008,20,0,0.23
144.92806309385952,-37.629934600919896,16280,16947,18904,LINCOLNE CR N OF DONALD CAMERON DR,INTERSECTION,All Moves,DONALD CAMERON DR/LINCOLNE CR/THOMAS BRUNTON PDE,9999,Missing Data,LINCOLNE CRESCENT,SCATS,Scats,Greater than 10 Years,0,0,0,0,0.0
145.31533404185916,-37.806564386342906,16295,16456,10779,LIVERPOOL RD 10M BEFORE KILSYTH AVE,INTERSECTION,Scheduled PubTpt Bus flow,LIVERPOOL RD 10M BEFORE KILSYTH AVE,9999,Missing Data,LIVERPOOL ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
144.80523361122889,-37.84673965857005,16316,16461,38817,KOKOROIT CREEK RD W OF ACCESS RD,INTERSECTION,Left Missing,KOKOROIT CREEK RD/ACCESS RD,5833,KOROROIT CREEK ROAD,KOROROIT CREEK ROAD,SCATS,Scats,Greater than 10 Years,0,0,0,0,0.0
144.7400222400371,-37.87381025699301,16365,16980,40441,PRINCES FWY WEST EAST OF FORSYTH RD INBOUND,INTERSECTION,Missing Data,SVO_Map_LTD:480||SITE DESC: PENLINK/SKYE RD,9999,Missing Data,LINMAX COURT,INDET,Freeway Data Station,Greater than 10 Years,0,0,0,0,0.0
144.8495559054468,-37.7267306962816,16368,16981,19451,KEILOR PARK DR N BD BTW CALDER FWY WB RAMPS & OLD CALDER HWY,INTERSECTION,All Moves,KEILOR PARK DR BTW CALDER FWY RAMPS & OLD CALDER HWY,5054,KEILOR PARK DRIVE,KEILOR PARK DRIVE,MOTSV,Manual,Between 2 and 5 Years,5,2011,17000,1600,0.1
147.96406233930446,-37.879563131703016,16371,16983,36453,LOOKOUT RD W BD 50M E OF PRINCES HWY EAST,MIDBLOCK,All Moves,LOOKOUT RD 50M E OF PRINCES HWY EAST,9999,Missing Data,LOOKOUT ROAD,APARX,Classification,Between 2 and 5 Years,4,2012,1000,60,0.06
145.10234220821883,-37.95623862145918,16372,16489,21422,KINGSTON RD E BD E OF OLD_DANDENONG RD,UNDEFINED,All Moves,KINGSTON RD E OF OLD_DANDENONG RD,5970,HEATHERTON ROAD,KINGSTON ROAD,APARX,Classification,Greater than 10 Years,28,1988,11000,0,0.0
145.59248940511864,-38.60260517308532,16373,16984,35517,KORUMBURRA RD W OF BASS HWY,INTERSECTION,All Moves,BASS HWY & KORUMBURRA-WONTHAGGI RD & KORUMBURRA RD,9999,Missing Data,KORUMBURRA ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
144.95450678285707,-37.814517281328975,16374,16490,45518,LONSDALE ST SW OF KING ST,INTERSECTION,All Moves,KING ST/LONSDALE ST,9999,Missing Data,LONSDALE STREET,SCATS,Scats,Greater than 10 Years,16,2000,8700,0,0.0
145.91367814541712,-38.22175568060955,16397,16997,42019,KORUMBURRA-WARRAGUL RD S BD 120M N OF MATCHETTS RD @ 45.6KM FROM KORUMBURRA,MIDBLOCK,All Moves,KORUMBURRA-WARRAGUL RD 120M N OF MATCHETTS RD @ 45.6KM FROM KORUMBURRA,5682,KORUMBURRA-WARRAGUL ROAD,KORUMBURRA-WARRAGUL ROAD,APARX,Classification,Between 2 and 5 Years,2,2014,970,140,0.14
145.4370919695446,-36.29736678519577,16402,16502,20629,KATAMATITE-SHEPPARTON RD SWBD NE OF GOULBURN VALLEY HWY,INTERSECTION,All Moves,GOULBURN VALLEY HWY LEFT TURN TO KATAMATITE-SHEPPARTON RD,5419,KATAMATITE-SHEPPARTON ROAD,KATAMATITE-SHEPPARTON MAIN ROAD,MOTSV,Manual,Greater than 10 Years,0,0,0,0,0.0
145.20283617239824,-37.97577805954428,16422,16704,44330,JONES RD S of GLADSTONE RD,INTERSECTION,All Moves,GLADSTONE RD & JONES RD & PRINCES HWY,9999,Missing Data,JONES ROAD,TMVMT,Manual,Greater than 10 Years,31,1985,6000,200,0.03
146.2554714796072,-38.17839685974251,16459,16716,40298,MOE-GLENGARRY RD E BD 50M E OF WIRRAWAY ST @ 1.0KM FROM MOE,MIDBLOCK,All Moves,MOE-GLENGARRY RD 50M E OF WIRRAWAY ST @ 1.0KM FROM MOE,5539,MOE-GLENGARRY ROAD,LLOYD STREET,APARX,Classification,Greater than 10 Years,18,1998,2700,120,0.04
144.98942327528815,-37.29000173766279,16463,16220,37995,KILMORE EAST-SUNDAY CREEK RD E BD 50M W OF RAILWAY LINE,MIDBLOCK,All Moves,KILMORE EAST-SUNDAY CREEK RD 50M W OF RAILWAY LINE,9999,Missing Data,KILMORE EAST-SUNDAY CREEK ROAD,APARX,Classification,Greater than 10 Years,11,2005,280,60,0.22
143.81077852117727,-37.568272599065736,16466,16221,38973,LEARMONTH ST S BD 200M N OF LATROBE ST (BALLARAT),MIDBLOCK,All Moves,LEARMONTH ST 200M N OF LATROBE ST (BALLARAT),5497,DELACOMBE-WENDOUREE ROAD,LEARMONTH STREET,APARX,Classification,Greater than 10 Years,15,2001,3800,490,0.13
145.31611832419088,-37.812465899717886,16507,16541,13214,LIVERPOOL RD 30M OPP PARAMOUNT AVE,INTERSECTION,Scheduled PubTpt Bus flow,LIVERPOOL RD 30M OPP PARAMOUNT AVE,9999,Missing Data,LIVERPOOL ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
145.05516379931643,-37.90179647878588,16516,16002,36587,LEILA RD E OF KOORNANG RD DEPARTURE,INTERSECTION,All Moves,KOORNANG RD N OF LEILA RD DEPARTURE,9999,Missing Data,LEILA ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
145.11143619765565,-37.957362073937446,16520,16239,13251,KINGSTON RD W BD BTWN BOUNDARY RD & OLD DANDENONG RD,INTERSECTION,Scheduled PubTpt Bus flow,KINGSTON RD BTWN BOUNDARY RD & OLD DANDENONG RD,5970,HEATHERTON ROAD,KINGSTON ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
144.78026057905984,-37.70040970136824,16550,16744,37178,KINGS RD NE OF SHOPPING CENTRE ENT NR BOND DR,INTERSECTION,All Moves,KINGS RD/SHOPPING CENTRE ENT NR BOND DR,5009,KINGS ROAD,KINGS ROAD,SCATS,Scats,Between 2 and 5 Years,5,2011,8900,0,0.0
145.6363146594801,-38.59835669446231,16582,16012,39589,KIRRAK RD N BD 200M N OF BASS HWY,MIDBLOCK,All Moves,KIRRAK RD 200M N OF BASS HWY,9999,Missing Data,KIRRAK ROAD,APARX,Classification,Greater than 10 Years,0,0,0,0,0.0
145.37743250064165,-37.73501608315864,16594,16014,36178,INGRAM RD E OF MAROONDAH HWY DEPARTURE,INTERSECTION,All Moves,MAROONDAH HWY N OF INGRAM RD DEPARTURE,9999,Missing Data,INGRAM ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
145.07357168522873,-37.73799299342439,16611,16261,11805,LOWER PLENTY RD SWBD BTWN ROSANNA RD & UPPER HEIDELBERG RD,INTERSECTION,Scheduled PubTpt Bus flow,LOWER PLENTY RD SBTWN ROSANNA RD & UPPER HEIDELBERG RD,5743,LOWER PLENTY ROAD,LOWER PLENTY ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
144.97244990887813,-37.76734790310866,16693,16769,42349,LYGON ST S OF BLYTH ST,INTERSECTION,All Moves,BLYTH ST & LYGON ST,9999,Missing Data,LYGON STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
145.09040921483344,-37.95476354921325,16744,16040,11817,KINGSTON RD AT NEAR WILLIS ST,INTERSECTION,Scheduled PubTpt Bus flow,KINGSTON RD AT NEAR WILLIS ST,5970,HEATHERTON ROAD,KINGSTON ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
147.9853255036124,-37.87882249493188,16817,16294,35351,LAKE TYERS RD SEBD 100M S OF PRINCES HWY EAST,MIDBLOCK,All Moves,LAKE TYERS RD 100M S OF PRINCES HWY EAST,9999,Missing Data,LAKE STREET,APARX,Classification,Between 5 and 10 Years,8,2008,860,60,0.08
145.2143272457753,-37.98746869643915,16823,16600,42765,PRINCES_HWY_E S of CLOW_ST,INTERSECTION,All Moves,PRINCES HWY/CLOW ST,2510,PRINCES HIGHWAY EAST,LONSDALE STREET,SCATS,Scats,Greater than 10 Years,0,0,0,0,0.0
145.31675687307353,-37.81697359488304,16852,16059,10542,LIVERPOOL RD 35M OPP GARDEN ST,INTERSECTION,Scheduled PubTpt Bus flow,LIVERPOOL RD 35M OPP GARDEN ST,9999,Missing Data,LIVERPOOL ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
145.22882869103987,-37.80510487375076,16888,16070,18965,LOUGHNAN RD NE OF RINGWOOD ST,INTERSECTION,All Moves,RINGWOOD ST/LOUGHNAN RD,9999,Missing Data,LOUGHNAN ROAD,SCATS,Scats,Greater than 10 Years,0,0,0,0,0.0
144.96246149579267,-37.714885470438105,16903,16665,38497,LORNE ST E OF SYDNEY RD,INTERSECTION,All Moves,SYDNEY RD / LORNE ST,9999,Missing Data,LORNE STREET,SCATS,Scats,Greater than 10 Years,0,0,0,0,0.0
144.78027056685656,-37.700379489535166,16918,16080,42945,SHOPPING CENTRE ENT NR BOND DR E OF KINGS RD,INTERSECTION,All Moves,KINGS RD/SHOPPING CENTRE ENT NR BOND DR,5009,KINGS ROAD,KINGS ROAD,SCATS,Scats,Between 2 and 5 Years,5,2011,2700,0,0.0
144.79910410472735,-37.84586320728259,16958,16182,37806,KOROROIT CREEK RD E OF BURNS RD,INTERSECTION,All Moves,KOROROIT CREEK RD/BURNS RD,5833,KOROROIT CREEK ROAD,KOROROIT CREEK ROAD,SCATS,Scats,Greater than 10 Years,0,0,0,0,0.0
144.78026057905984,-37.70040970136824,16959,16094,37535,KINGS RD SW OF SHOPPING CENTRE ENT NR BOND DR,INTERSECTION,All Moves,KINGS RD/SHOPPING CENTRE ENT NR BOND DR,5009,KINGS ROAD,KINGS ROAD,SCATS,Scats,Between 2 and 5 Years,5,2011,11000,0,0.0
144.96825830825287,-37.793034102764096,16960,16684,48108,LYGON ST S of PRINCES ST,INTERSECTION,All Moves,LYGON ST & PRINCES ST,9999,Missing Data,LYGON STREET,TMVMT,Manual,Greater than 10 Years,26,1990,9700,0,0.0
145.14240210614872,-37.990626861904495,16975,16099,35497,LOWER DANDENONG RD E OF CENTRE DANDENONG RD,INTERSECTION,All Moves,LOWER DANDENONG RD/CENTRE DANDENONG RD,2050,STATE (LOWER DANDENONG/CHELTENHAM) HIGHWAY,LOWER DANDENONG ROAD,SCATS,Scats,Between 2 and 5 Years,3,2013,23000,0,0.0
144.78130368288123,-37.69724648880746,16987,16694,21447,KEILOR-MELTON RD E BD E OF KINGS RD,UNDEFINED,All Moves,KEILOR-MELTON RD E OF KINGS RD,5009,KINGS ROAD,KINGS ROAD,APARX,Classification,Greater than 10 Years,25,1991,9800,0,0.0
145.0097984557281,-37.932990860793865,16999,16700,44141,LAGNICOURT ST S BD S OF VILLEROY ST,UNDEFINED,All Moves,LAGNICOURT ST S OF VILLEROY ST,9999,Missing Data,LAGNICOURT STREET,APARX,Classification,Greater than 10 Years,27,1989,410,0,0.0
145.19242269522744,-37.93799969965896,17012,17306,41509,JACKSONS_RD S of POLICE_RD,INTERSECTION,All Moves,POLICE RD/JACKSONS RD,5170,JACKSONS ROAD,JACKSONS ROAD,SCATS,Scats,Between 5 and 10 Years,9,2007,10000,0,0.0
145.23946240029633,-37.870330000583856,17018,17309,41170,BURWOOD HWY SE OF KNOX CITY ENTRANCE,INTERSECTION,All Moves,BURWOOD HWY/KNOX CITY ENTRANCE,9999,Missing Data,LYNNE AVENUE,SCATS,Scats,Greater than 10 Years,16,2000,17000,0,0.0
144.90090831137834,-37.801307294725,17028,17314,19327,LEEDS ST N OF IRVING ST,INTERSECTION,All Moves,IRVING ST/LEEDS ST,9999,Missing Data,LEEDS STREET,SCATS,Scats,Greater than 10 Years,17,1999,1500,0,0.0
144.90280151581075,-37.74154227797644,17036,17318,36467,KEILOR_RD NW of GILLIES_ST,INTERSECTION,All Moves,KEILOR RD NR GILLIES ST,5592,KEILOR ROAD,KEILOR ROAD,SCATS,Scats,Between 2 and 5 Years,4,2012,8600,0,0.0
144.3507267568467,-38.15741618869158,17048,17824,37973,PRINCES HWY WEST N BD LATROBE TERRACE.SOUTH OF KILGOUR.ST FAST LANE,MIDBLOCK,Incomplete Through,PRINCES HWY WEST LATROBE TERRACE.SOUTH OF KILGOUR.ST,2800,CORIO-WAURN PONDS ROAD,LATROBE TERRACE,APARX,Classification,Greater than 10 Years,21,1995,8200,410,0.05
144.9834137108122,-37.80641793297208,17051,17324,36388,LANGRIDGE ST E OF SMITH ST,INTERSECTION,All Moves,GERTRUDE ST/LANGRIDGE ST/SMITH ST,9999,Missing Data,LANGRIDGE STREET,SCATS,Scats,Between 5 and 10 Years,9,2007,5400,0,0.0
146.9533671759222,-36.17966310795676,17076,17205,42533,KIEWA VALLEY HWY N BD 200M S OF YACKANDANDAH RD @ 1.5KM FROM BARANDUDA,MIDBLOCK,All Moves,KIEWA VALLEY HWY 200M S OF YACKANDANDAH RD @ 1.5KM FROM BARANDUDA,2790,KIEWA VALLEY HIGHWAY,KIEWA VALLEY HIGHWAY,APARX,Classification,Between 2 and 5 Years,2,2014,1400,120,0.09
145.1890176490276,-37.90712420607703,17086,17207,39965,JELLS RD S OF FERNTREE GULLY RD,INTERSECTION,Left Missing,FERNTREE GULLY RD/JELLS RD,5308,JELLS ROAD,JELLS ROAD,SCATS,Scats,Between 5 and 10 Years,8,2008,9200,0,0.0
144.9009814193649,-37.80090719868252,17151,17223,40978,LEEDS ST S OF HOPKINS ST,INTERSECTION,All Moves,HOPKINS ST/LEEDS ST,9999,Missing Data,LEEDS STREET,SCATS,Scats,Greater than 10 Years,17,1999,2600,0,0.0
145.108906502423,-37.98657269627045,17153,17855,37491,LOWER DANDENONG RD WE of BOUNDARY RD,INTERSECTION,All Moves,BOUNDARY RD & LOWER DANDENONG RD,2050,STATE (LOWER DANDENONG/CHELTENHAM) HIGHWAY,LOWER DANDENONG ROAD,TMVMT,Manual,Greater than 10 Years,28,1988,11000,1100,0.1
145.4136571075111,-36.375749517944406,17169,17358,39362,KNIGHT ST NW of ADAMS AVE,INTERSECTION,All Moves,ADAMS AVE & HAWDON ST & KNIGHT ST,9999,Missing Data,KNIGHT STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
143.3589935711643,-37.69520369565716,17171,17726,40907,LISMORE-SKIPTON RD S BD 700M S OF STATION ST @ 2.9KM FROM SKIPTON,MIDBLOCK,All Moves,LISMORE-SKIPTON RD 700M S OF STATION ST @ 2.9KM FROM SKIPTON,5962,LISMORE-SKIPTON ROAD,LISMORE-SKIPTON ROAD,APARX,Classification,Greater than 10 Years,21,1995,110,20,0.17
145.07851957314836,-37.735157367499,17180,17361,38529,LOWER PLENTY RD NE of GREENSBOROUGH RD,INTERSECTION,Through Missing,GREENSBOROUGH RD & LOWER PLENTY RD,2850,GREENSBOROUGH HIGHWAY,LOWER PLENTY ROAD,TMVMT,Manual,Greater than 10 Years,28,1988,2400,90,0.04
145.40018080207355,-36.37397528505049,17198,17368,38262,KNIGHT ST W of WYNDHAM ST,INTERSECTION,All Moves,KNIGHT ST & WYNDHAM ST,9999,Missing Data,KNIGHT STREET,TMVMT,Manual,Greater than 10 Years,20,1996,4600,90,0.02
144.32471850696047,-36.69680094318922,17212,17372,39386,IRONSTONE ROAD WE of MIDLAND HWY,INTERSECTION,All Moves,IRONSTONE ROAD & MIDLAND HWY,9999,Missing Data,IRONSTONE ROAD,TMVMT,Manual,Greater than 10 Years,27,1989,180,10,0.07
143.4952099742685,-36.61529928691173,17222,17735,42406,LOGAN WEDDERBURN ROAD(TYPE Z)82.5KM S BD N OF LOGAN,MIDBLOCK,All Moves,LOGAN WEDDERBURN ROAD(TYPE Z)82.5KM N OF LOGAN,5235,LOGAN-WEDDERBURN ROAD,LOGAN-WEDDERBURN ROAD,APARX,Classification,Greater than 10 Years,24,1992,40,0,0.18
144.95572697816706,-37.81638470782775,17234,17378,18494,KING ST N BD S OF BOURKE ST,UNDEFINED,All Moves,KING ST S OF BOURKE ST,5041,KING STREET,KING STREET,APARX,Classification,Greater than 10 Years,28,1988,29000,0,0.0
145.11679841361885,-37.98754234775234,17245,17882,19487,LOWER DANDENONG RD E BD E OF BOUNDARY RD,UNDEFINED,All Moves,LOWER DANDENONG RD E OF BOUNDARY RD,2050,STATE (LOWER DANDENONG/CHELTENHAM) HIGHWAY,LOWER DANDENONG ROAD,APARX,Classification,Greater than 10 Years,28,1988,12000,0,0.0
144.96766395663445,-37.83738019342567,17256,17385,19226,LAKESIDE DR N BD S OF ALBERT RD,UNDEFINED,All Moves,LAKESIDE DR S OF ALBERT RD,9999,Missing Data,LAKESIDE DRIVE,APARX,Classification,Greater than 10 Years,0,0,0,0,0.0
144.95710629102925,-37.81939019775138,17289,17254,18921,FLINDERS ST E BD E OF KING ST,UNDEFINED,All Moves,FLINDERS ST E OF KING ST,5041,KING STREET,KING STREET,APARX,Classification,Greater than 10 Years,0,0,0,0,0.0
144.85001561294771,-37.72378159919453,17302,17752,41911,KEILOR PARK_DR S BD N OF CALDER HWY,UNDEFINED,All Moves,KEILOR PARK_DR N OF CALDER HWY,5054,KEILOR PARK DRIVE,KEILOR PARK DRIVE,APARX,Classification,Greater than 10 Years,29,1987,11000,0,0.0
145.0760731964514,-37.94968538691394,17330,17763,38741,KEYS RD WE of WARRIGAL RD,INTERSECTION,All Moves,KEYS RD & WARRIGAL RD,5313,WICKHAM-KEYS ROAD,KEYS ROAD,TMVMT,Manual,Greater than 10 Years,28,1988,9600,990,0.1
145.0509409478132,-37.72684912268756,17334,17765,39823,KINGSBURY DR NW of WATERDALE RD,INTERSECTION,All Moves,KINGSBURY DR & WATERDALE RD,5740,KINGSBURY DRIVE,KINGSBURY DRIVE,TMVMT,Manual,Greater than 10 Years,30,1986,12000,620,0.05
144.90872336647783,-38.36807630006468,17355,17280,40558,JETTY RD S BD N OF EASTBOURNE RD,UNDEFINED,All Moves,JETTY RD N OF EASTBOURNE RD,9999,Missing Data,JETTY ROAD,APARX,Classification,Greater than 10 Years,26,1990,4800,0,0.0
144.7871818100321,-37.84470452812679,17366,17286,19250,KOROROIT CREEK RD E BD ON BRIDGE OVER PRINCES FWY,UNDEFINED,All Moves,KOROROIT CREEK RD ON BRIDGE OVER PRINCES FWY,5833,KOROROIT CREEK ROAD,KOROROIT CREEK ROAD,APARX,Classification,Greater than 10 Years,24,1992,8000,0,0.0
145.09841769878238,-37.955747385259805,17383,17789,41913,KINGSTON RD W BD W OF OLD_DANDENONG RD,UNDEFINED,All Moves,KINGSTON RD W OF OLD_DANDENONG RD,5970,HEATHERTON ROAD,KINGSTON ROAD,APARX,Classification,Greater than 10 Years,28,1988,14000,0,0.0
144.74847441578177,-37.83955784214711,17393,17794,35744,LEAKES RD E OF PALMERS RD,INTERSECTION,All Moves,PALMERS RD/LEAKES RD,9999,Missing Data,LEAKES ROAD,SCATS,Scats,Greater than 10 Years,0,0,0,0,0.0
144.78152400564866,-37.69653109754801,17409,17404,38391,HUNGRY JACKS AND KFC ACCESS W OF KINGS RD,INTERSECTION,All Moves,HUNGRY JACKS AND KFC ACCESS & KINGS RD & SERVICE STATION ACCESS,5009,KINGS ROAD,KINGS ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
146.25118447670332,-38.17976795510944,17430,17410,38437,LLOYD ST SE OF WATERLOO RD DEPARTURE,INTERSECTION,All Moves,WATERLOO RD NE OF LLOYD ST DEPARTURE,5539,MOE-GLENGARRY ROAD,LLOYD STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
