Site Number,Location Description,Site Type,Directory,Map reference,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
21005,TOORAK NR YARRA (DYNAMIC FAIRWAY) E/B,O/H LANE,Melway,Unknown,,,,
1084,TULLA FWY/BRISTOL (GANTRY B),O/H LANE,Melway,16A08,,,,
1083,TULLA FWY/ENGLISH (GANTRY C),O/H LANE,Melway,16B08,,,,
1085,TULLA/VAUGHAN (GANTRY D),O/H LANE,Melway,16B07,,,,
2851,TULLAMARINE FWY LANE SIGNALS (NR CALDER),O/H LANE,Melway,016A08,,,,
1694,WESTGATE EAST OF TODD (OB),O/H LANE,Unknown,Unknown,,,,
1693,WESTGATE EAST OF TODD (OB),O/H LANE,Unknown,Unknown,,,,
1627,WESTGATE NR HYDE (OB),O/H LANE,Melway,42B12,,,,
1622,WGB west of Todd,O/H LANE,Melway,056F01,,,,
1622,WGB west of Todd,O/H LANE,Melway,056F01,,,,
1625,WGB/ 950M WEST OF TODD,O/H LANE,Melway,56F01,,,,
1659,WGF E of Montague (EB),O/H LANE,Unknown,Unknown,,,,
1661,WGF E of Montague Kingsway (EB),O/H LANE,Unknown,Unknown,,,,
1660,WGF E of Montague Kingsway (EB),O/H LANE,Unknown,Unknown,,,,
1679,WGF EAST OF CITYLINK,O/H LANE,Unknown,Unknown,,,,
1687,WGF EAST OF COOK,O/H LANE,Unknown,Unknown,,,,
1628,WGF east of Hall I/B,O/H LANE,Melway,042A11,,,,
1629,WGF east of Hall O/B,O/H LANE,Melway,042A11,,,,
1673,WGF East of Ingles (WB),O/H LANE,Unknown,Unknown,,,,
1674,WGF East of Ingles north side (WB),O/H LANE,Unknown,Unknown,,,,
1675,WGF East of Ingles south side (WB),O/H LANE,Unknown,Unknown,,,,
1685,WGF East of service centre (WB),O/H LANE,Unknown,Unknown,,,,
1677,WGF East of Wstrn Lk (WB),O/H LANE,Unknown,Unknown,,,,
1652,WGF Kingsway Offramp nr Clarke (EB),O/H LANE,Unknown,Unknown,,,,
1656,WGF Kingsway Offramp nr Haig (EB),O/H LANE,Unknown,Unknown,,,,
1654,WGF Kingsway Onramp nr CityRd (WB),O/H LANE,Unknown,Unknown,,,,
1663,WGF Montague (WB),O/H LANE,Unknown,Unknown,,,,
1695,WGF Montague Onramp (WB),O/H LANE,Unknown,Unknown,,,,
1682,WGF nr Bolte Offramp (EB),O/H LANE,Unknown,Unknown,,,,
1653,WGF nr CityRd (WB),O/H LANE,Unknown,Unknown,,,,
1651,WGF nr Clarke (EB),O/H LANE,Unknown,Unknown,,,,
1662,WGF nr Ford (WB),O/H LANE,Unknown,Unknown,,,,
