x,y,fid,objectid,tfm_id,tfm_desc,tfm_typ_de,movement_t,site_desc,road_nbr,declared_r,local_road,data_src_c,data_sourc,time_categ,year_since,last_year,aadt_allve,aadt_truck,per_trucks,road_name,road_avg_aadt,efficiency_index,vs_average_pct
141.9621067051673,-34.36203750616725,53760,53250,56024,RED CLIFFS-MERINGUR RD E BD 2.7 KM W OF MERIDAN RD @ 8.1KM FROM RED CLIFFS,MIDBLOCK,All Moves,RED CLIFFS-MERINGUR RD 2.7 KM W OF MERIDAN RD @ 8.1KM FROM RED CLIFFS,5177,RED CLIFFS-MERINGUR ROAD,MILLEWA ROAD,APARX,Classification,Between 5 and 10 Years,9,2007,150,70,0.49,RED CLIFFS-MERINGUR ROAD,278.1818181818182,0.54,-46.0
145.20462186916143,-37.7144670942292,3025,3812,19911,RESEARCH-WARRANDYTE RD N BD N OF SAN ANGELO RD,INTERSECTION,All Moves,RESEARCH-WARRANDYTE RD N OF SAN ANGELO RD,5434,RESEARCH-WARRANDYTE ROAD,RESEARCH-WARRANDYTE ROAD,APARX,Classification,Greater than 10 Years,14,2002,3000,0,0.0,RESEARCH-WARRANDYTE ROAD,284.61538461538464,10.54,954.0
145.20462186916143,-37.7144670942292,44402,44782,41983,RESEARCH-WARRANDYTE RD S BD N OF SAN ANGELO RD,INTERSECTION,All Moves,RESEARCH-WARRANDYTE RD N OF SAN ANGELO RD,5434,RESEARCH-WARRANDYTE ROAD,RESEARCH-WARRANDYTE ROAD,APARX,Classification,Greater than 10 Years,14,2002,3000,0,0.0,RESEARCH-WARRANDYTE ROAD,284.61538461538464,10.54,954.0
145.203609771596,-37.72326057185621,17618,17673,18959,RESEARCH-WARRANDYTE RD NW BD NW OF WEERONA WAY,INTERSECTION,All Moves,RESEARCH-WARRANDYTE RD NNW OF WEERONA WAY,5434,RESEARCH-WARRANDYTE ROAD,RESEARCH-WARRANDYTE ROAD,APARX,Classification,Greater than 10 Years,23,1993,2600,0,0.0,RESEARCH-WARRANDYTE ROAD,284.61538461538464,9.14,814.0
144.9276890054552,-37.71551803024976,2703,2127,15468,RHODES PDE 30M BEFORE GREVILLEA RD,INTERSECTION,Scheduled PubTpt Bus flow,RHODES PDE 30M BEFORE GREVILLEA RD,5727,RHODES PARADE,RHODES PARADE,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,RHODES PARADE,0.0,,
144.93053871209491,-37.71587832087075,2884,2162,13739,RHODES PDE 20M BEFORE PERKIN AVE,INTERSECTION,Scheduled PubTpt Bus flow,RHODES PDE 20M BEFORE PERKIN AVE,5727,RHODES PARADE,RHODES PARADE,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,RHODES PARADE,0.0,,
144.93009811727978,-37.71582262368362,12865,12679,16942,RHODES PDE 20M AFTER PERKIN AVE,INTERSECTION,Scheduled PubTpt Bus flow,RHODES PDE 20M AFTER PERKIN AVE,5727,RHODES PARADE,RHODES PARADE,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,RHODES PARADE,0.0,,
145.35150880332532,-37.83602990098009,2557,2251,13212,RIDGE RD 70M AFTER BONNIE VIEW RD,INTERSECTION,Scheduled PubTpt Bus flow,RIDGE RD 70M AFTER BONNIE VIEW RD,4016,RIDGE ROAD,RIDGE ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,RIDGE ROAD,0.0,,
145.35577739288038,-37.8288143957794,2722,2278,14957,RIDGE RD 25M AFTER RIDGE CRES,INTERSECTION,Scheduled PubTpt Bus flow,RIDGE RD 25M AFTER RIDGE CRES,4016,RIDGE ROAD,RIDGE ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,RIDGE ROAD,0.0,,
145.3498183145992,-37.83542929389107,2740,2281,15467,RIDGE RD 5M AFTER EYRE RD,INTERSECTION,Scheduled PubTpt Bus flow,RIDGE RD 5M AFTER EYRE RD,4016,RIDGE ROAD,RIDGE ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,RIDGE ROAD,0.0,,
145.2303053639542,-37.810527565935054,55630,55907,55697,RINGWOOD BYPASS W OF WARRANDYTE RD,INTERSECTION,All Moves,RINGWOOD BYPASS/WARRANDYTE RD,2270,RINGWOOD BYPASS,RINGWOOD BYPASS,SCATS,Scats,Between 5 and 10 Years,6,2010,25000,0,0.0,RINGWOOD BYPASS,4500.0,5.56,456.0
145.23102435321343,-37.81053958182336,41879,41159,35711,RINGWOOD BYPASS E OF WARRANDYTE RD,INTERSECTION,All Moves,RINGWOOD BYPASS/WARRANDYTE RD,2270,RINGWOOD BYPASS,RINGWOOD BYPASS,SCATS,Scats,Between 5 and 10 Years,6,2010,24000,0,0.0,RINGWOOD BYPASS,4500.0,5.33,433.0
