					
		Total day of data validated			
Count of Date					
SCATS Number	Location	Total			
4273	TOORAK_RD E of TOORONGA_RD	31			
	TOORONGA_RD N of TOORAK_RD	31			
4321	HARP_RD E OF HIGH_ST	31			
	HIGH_ST NE OF HARP_ST	31			
	HIGH_ST SW OF HARP_ST	31			
	VALERIE_ST W OF HIGH_ST	31			
4324	COTHAM_RD E OF GLENFERRIE_RD	31			
	COTHAM_RD W OF GLENFERRIE_RD	31			
	GLENFERRIE_RD S OF COTHAM_RD	31			
4335	HIGH_ST NE of CHARLES_ST	62	Pedestrian Count		 
4812	MADDEN_GV S OF SWAN_ST	26			
	SWAN_ST NE of MADDEN_GV	26			 
	SWAN_ST SW of MADDEN_GV	26			
4821	BURNLEY_ST S OF VICTORIA_ST	31			
	VICTORIA_ST E OF BURNLEY_ST	31			
	VICTORIA_ST W OF BURNLEY_ST	31			
	WALMER_ST N OF VICTORIA_ST	31			
